1;120000000000000000.0000
2;120000000000000000.0000
3;120000000000000000.0000
4;120000000000000000.0000
5;120000000000000000.0000
6;120000000000000000.0000
7;120000000000000000.0000
8;120000000000000000.0000
9;120000000000000000.0000
10;120000000000000000.0000
11;120000000000000000.0000
12;120000000000000000.0000
13;120000000000000000.0000
14;120000000000000000.0000
15;120000000000000000.0000
16;120000000000000000.0000
17;120000000000000000.0000
18;120000000000000000.0000
19;120000000000000000.0000
20;120000000000000000.0000
21;120000000000000000.0000
22;120000000000000000.0000
23;120000000000000000.0000
